Code,NumberOfHouseholds,HouseholdMedianIncome,HouseholdMeanIncome,NumberOfFamilies,FamilyMedianIncome,FamilyMeanIncome,NonFamilyHousehold,NonFamilyHouseholdMediumIncome,NonFamilyHouseholdMeanIncome
52563,634,66333,76484,438,72667,82928,196,56250,58292
52561,366,47000,59667,248,48000,60440,118,37500,41737
52560,100,0,78055,84,0,85604,16,16364,27250
52557,0,0,0,0,0,0,0,0,0
52556,5079,46209,72461,2692,61569,92062,2387,28865,49224
52555,123,36875,47325,78,50909,53133,45,33036,36538
52554,544,45472,49726,310,56500,60707,234,32115,32012
52553,660,53478,60345,522,54815,65341,138,26250,33307
52552,387,52083,65404,284,85096,77278,103,21198,32661
52551,224,68929,68971,165,81058,84335,59,21083,26007
52550,278,39444,47741,104,73214,70688,174,31000,33761
52549,241,44732,59104,186,50208,58562,55,23750,54547
52548,39,53125,52921,28,51250,46604,11,54375,63218
52544,3353,35820,54434,2006,39603,60436,1347,24250,43151
52543,147,63438,80459,147,63438,80459,0,0,0
52542,133,42708,55559,95,44792,66156,38,21071,28637
52540,524,52500,60911,346,57400,73514,178,0,31556
52537,2574,69196,83395,1907,81993,97836,667,29441,39452
52536,411,47545,59624,283,68906,73533,128,27875,28871
52535,409,52557,63900,239,66193,70080,170,47868,51882
52534,130,38214,64042,81,82917,90143,49,14191,15741
52533,493,51563,64085,266,59792,79529,227,24931,42396
52531,2394,57206,73456,1422,80083,85694,972,26818,53810
52530,450,52143,65507,305,78958,82332,145,24805,30117
52501,12159,45113,60634,7778,57350,71646,4381,30699,38383
52411,2985,149653,204241,2647,164671,220441,338,66071,73416
52405,11079,61198,74034,6715,82736,90283,4364,39418,45736
52404,16811,56898,71519,9439,68909,85773,7372,40688,50455
52403,9772,65759,97254,5914,94731,121323,3858,39189,56558
52402,17329,63635,79080,9933,78765,93573,7396,44504,58025
52401,1143,39361,57661,237,63125,69301,906,34944,53317
52362,411,59583,67184,311,70694,70841,100,31667,54579
52361,1860,60200,81239,1193,74429,99977,667,42005,45607
52359,81,58854,74422,67,59028,79851,14,47500,47379
52358,1476,68194,84221,969,90598,98918,507,37083,53353
52356,1054,51429,68145,677,74034,80233,377,39099,42736
52355,122,58056,66741,74,61250,79639,48,50833,46856
52354,156,60938,69476,120,64375,73520,36,53929,55997
52353,3722,60466,68538,2622,66676,77136,1100,33984,38839
52352,717,71594,77407,531,96635,91373,186,31742,34556
52351,495,106250,115809,384,114643,130288,111,60938,59876
52349,3232,51650,68042,2061,70995,87567,1171,27416,31995
52348,38,62500,66221,20,90000,91080,18,25625,38594
52347,523,66719,84233,396,75000,94879,127,31875,41400
52346,482,81250,96702,394,76563,97309,88,53000,63143
52345,515,91875,93418,380,101250,105339,135,62083,58689
52342,1324,47262,60673,828,64853,74548,496,30750,36055
52341,494,91651,112474,387,91439,106515,107,0,118111
52340,1571,77969,79611,1043,89009,94884,528,31364,46908
52339,1350,46250,55844,882,57683,66517,468,25833,32430
52338,1303,108008,147601,1079,125893,165432,224,61250,61151
52337,331,62750,71131,198,65000,74164,133,41375,46891
52336,1131,77569,75500,764,76250,80731,367,66544,61516
52335,312,37115,56628,165,65625,78355,147,25625,29173
52334,94,88750,76189,94,88750,76189,0,0,0
52333,2629,98647,110904,2025,117702,127780,604,44375,51431
52332,800,82333,79135,618,96071,88747,182,34464,43965
52330,360,82500,88876,262,92917,113124,98,0,24051
52329,315,75243,98856,258,75714,106404,57,49375,57160
52328,1169,129875,158554,1006,137083,170738,163,68542,81902
52327,1367,67917,82647,1103,69188,91232,264,33571,43638
52326,258,67917,75104,193,90197,85769,65,36250,41463
52325,268,52197,81721,196,56607,91013,72,37273,54199
52324,617,105625,116379,474,111667,123452,143,75750,88155
52323,382,50278,60149,235,67250,75192,147,33311,34965
52322,851,69688,83039,475,103563,108746,376,37500,44672
52321,155,37109,48330,115,43750,52768,40,23333,32933
52320,503,55677,63251,359,73417,74988,144,26071,29769
52318,419,71528,80884,296,77384,94259,123,38438,48058
52317,7730,89233,108386,5170,104906,125469,2560,62802,70580
52316,686,55500,63799,390,66087,75322,296,32262,43212
52315,495,61576,76443,336,74167,90650,159,41250,40147
52314,1786,77778,95568,1216,94511,120342,570,28824,39408
52313,103,75774,82577,81,76985,92543,22,53125,41255
52312,27,34375,37437,11,51875,56882,16,23750,22363
52310,2698,56748,82065,1655,83688,105630,1043,35461,43708
52309,303,81979,84280,224,89833,94879,79,0,52900
52308,84,80250,70582,37,80875,68946,47,0,71328
52307,30,0,81653,21,0,0,9,0,0
52306,618,63889,66887,434,70909,79042,184,26419,30555
52305,247,76250,78280,163,81563,83677,84,75398,61923
52302,16422,74630,93233,10783,95683,113584,5639,39602,51840
52301,1476,59369,72906,948,76768,89943,528,36250,41340
52257,84,75208,76240,70,76667,90040,14,25000,7243
52255,586,61250,73873,368,73611,85977,218,33958,51894
52254,385,53594,64393,234,68929,78589,151,36319,41913
52253,1128,77108,86504,793,101691,103396,335,31131,41759
52251,257,76089,79642,168,77500,94030,89,0,50754
52249,385,63068,66450,276,67955,70573,109,34861,47847
52248,737,66188,85638,481,88365,103849,256,37361,47438
52247,1859,60609,72922,1351,69957,82024,508,33293,42095
52246,10346,47888,83185,4648,92222,131639,5698,28341,42775
52245,9916,62847,83813,4708,97794,117086,5208,38713,53033
52242,0,0,0,0,0,0,0,0,0
52241,8690,68038,101320,4977,101279,123269,3713,35678,69397
52240,15298,45785,68562,6942,84725,105705,8356,27277,35917
52237,547,71316,72351,479,71781,77502,68,20000,33596
52236,259,58185,117212,184,0,149418,75,40170,38201
52235,366,61167,66411,231,69087,71719,135,43125,49481
52233,2864,48202,66915,1755,64913,80423,1109,36061,41791
52232,120,71618,64338,92,80345,74529,28,23750,30850
52231,129,63125,67081,64,102788,91563,65,44107,42977
52229,286,75700,77258,222,77300,84318,64,0,51667
52228,1282,107286,161355,1040,124423,182834,242,63750,67017
52227,1066,91389,98620,763,108229,110408,303,43664,66840
52225,146,56071,59461,97,59625,69052,49,50625,39822
52224,762,61250,76559,477,72426,87430,285,24205,55829
52223,409,65391,70172,236,76400,79972,173,50469,52943
52222,261,51518,60208,155,54844,74531,106,30417,35376
52221,85,68750,66049,61,65750,71472,24,0,42871
52220,108,58438,67101,80,58984,75823,28,51042,42182
52219,75,55625,74911,49,65417,90002,26,33750,41754
52218,777,69464,81480,556,82051,97098,221,28285,34181
52217,232,52813,72916,119,97639,105131,113,0,38920
52216,612,57500,66240,364,68636,82988,248,41250,40618
52215,407,83750,84818,318,100473,92506,89,39107,50096
52214,1365,74250,96321,1025,82083,109461,340,39167,54603
52213,1465,75139,84641,1128,86645,94280,337,37261,42842
