city,state,latitude,longitude,postcode,price,bedroom_number,bathroom_number,property_type
Reno,NV,39.421944,-119.732185,89521,445000,2,2,CONDO
Reno,NV,39.436703,-119.7519,89521,519000,3,2,CONDO
Reno,NV,39.537758,-119.796036,89512,210000,2,2,CONDO
Reno,NV,39.56143,-119.827354,89503,410000,4,4,CONDO
Reno,NV,39.55742,-119.795845,89512,265000,2,1,CONDO
Reno,NV,39.436825,-119.75146,89521,350000,1,1,CONDO
Reno,NV,39.53029,-119.81799,89503,250000,1,1,CONDO
Reno,NV,39.53029,-119.81799,89503,230000,1,1,CONDO
Reno,NV,39.497383,-119.81206,89509,175000,0,1,CONDO
Reno,NV,39.53029,-119.81799,89503,225000,1,1,CONDO
Reno,NV,39.564037,-119.78488,89512,275000,2,1,CONDO
Reno,NV,39.55531,-119.7923,89512,200000,2,2,CONDO
Reno,NV,39.517063,-119.84438,89509,395000,2,2,CONDO
Reno,NV,39.502373,-119.793,89502,214000,2,2,CONDO
Reno,NV,39.527332,-119.81501,89501,620000,2,2,CONDO
Sparks,NV,39.551434,-119.7788,89431,289850,2,2,CONDO
Reno,NV,39.497246,-119.81083,89509,230000,1,1,CONDO
Sparks,NV,39.54007,-119.77564,89431,290000,2,2,CONDO
Reno,NV,39.497383,-119.81206,89509,168000,0,1,CONDO
Reno,NV,39.527332,-119.81501,89501,580000,2,2,CONDO
Reno,NV,39.520824,-119.82794,89503,450000,2,2,CONDO
Reno,NV,39.497246,-119.81083,89509,209000,1,1,CONDO
Sparks,NV,39.552673,-119.780014,89431,299000,2,3,CONDO
Reno,NV,39.565815,-119.78483,89512,199000,1,1,CONDO
Reno,NV,39.527332,-119.81501,89501,415000,1,2,CONDO
Reno,NV,39.55163,-119.79495,89512,172000,2,2,CONDO
Reno,NV,39.436535,-119.73669,89521,450000,2,2,CONDO
Reno,NV,39.436535,-119.73669,89521,630000,3,2,CONDO
Reno,NV,39.525276,-119.81658,89501,414900,2,2,CONDO
Reno,NV,39.52889,-119.82193,89503,125000,1,1,CONDO
Reno,NV,39.520824,-119.82794,89503,360000,2,1,CONDO
Reno,NV,39.525276,-119.81658,89501,575000,2,2,CONDO
Reno,NV,39.526104,-119.81615,89501,260000,1,1,CONDO
Reno,NV,39.563934,-119.79362,89512,200000,2,1,CONDO
Reno,NV,39.495693,-119.808266,89509,288000,2,2,CONDO
Carson City,NV,39.175278,-119.729935,89701,219000,2,1,CONDO
Carson City,NV,39.170624,-119.71871,89701,329000,3,3,CONDO
Reno,NV,39.55531,-119.7923,89512,200000,2,2,CONDO
Reno,NV,39.52507,-119.81385,89501,849000,2,2,CONDO
Reno,NV,,,89501,699000,2,2,CONDO
Reno,NV,39.522903,-119.77842,89502,124500,0,1,CONDO
Reno,NV,39.527332,-119.81501,89501,829000,3,4,CONDO
Reno,NV,39.456013,-119.75762,89521,479900,2,2,CONDO
Reno,NV,39.436535,-119.73669,89521,799900,3,3,CONDO
Reno,NV,39.518986,-119.89732,89523,359900,2,2,CONDO
Reno,NV,39.51694,-119.894875,89523,355000,2,2,CONDO
Reno,NV,39.51906,-119.89749,89523,360000,2,2,CONDO
