address,city,state,postcode,latitude,longitude,bedroom_number,bathroom_number,square_meter,price,household_number,household_mean_income,families_number,family_mean_income,non_family_number,non_family_mean_income,population,20to24,25to34,35to44,45to54,55to59,60to64,65to74,75to84,median_age
East 12th Avenue,Anchorage,AK,99501,61.21067,-149.87686,1,1,62,165000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
Sitka Street,Anchorage,AK,99501,61.205162,-149.84402,2,1,81,140000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
Montclaire Court,Anchorage,AK,99503,61.190655,-149.8947,3,2,126,219900,6167,73025,2999,85128,3168,58358,12360,1205,2962,1483,1718,844,870,871,615,36.2
Juneau Street,Anchorage,AK,99501,61.212906,-149.86458,3,2,118,150000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
G Street,Anchorage,AK,99501,61.20658,-149.89494,3,2,145,519000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
East 14th Avenue,Anchorage,AK,99501,61.208973,-149.87817,2,2,91,169900,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
Nelchina Street,Anchorage,AK,99501,61.206623,-149.85645,3,3,157,260000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
East 11th Avenue,Anchorage,AK,99501,61.21133,-149.87868,1,1,65,110000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
Denali Street,Anchorage,AK,99501,61.21099,-149.87767,1,1,78,172000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
East 11th Avenue,Anchorage,AK,99501,61.211372,-149.87787,2,2,86,167000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
Eastridge Drive,Anchorage,AK,99501,61.2055,-149.84546,2,1,80,149000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
Monticello Court,Anchorage,AK,99503,61.190582,-149.89128,2,2,116,217500,6167,73025,2999,85128,3168,58358,12360,1205,2962,1483,1718,844,870,871,615,36.2
West 22nd Avenue,Anchorage,AK,99503,61.20091,-149.88617,2,2,92,204900,6167,73025,2999,85128,3168,58358,12360,1205,2962,1483,1718,844,870,871,615,36.2
East 17th Avenue,Anchorage,AK,99501,61.205196,-149.8551,1,2,76,150000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
I Street,Anchorage,AK,99501,61.21068,-149.89989,2,2,111,225000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
West 22nd Avenue,Anchorage,AK,99503,61.20091,-149.88585,2,2,99,216000,6167,73025,2999,85128,3168,58358,12360,1205,2962,1483,1718,844,870,871,615,36.2
North Star Street,Anchorage,AK,99503,61.20083,-149.9007,2,2,125,260000,6167,73025,2999,85128,3168,58358,12360,1205,2962,1483,1718,844,870,871,615,36.2
East 14th Avenue,Anchorage,AK,99501,61.208973,-149.87817,2,1,70,100700,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
Montpelier Court,Anchorage,AK,99503,61.1912,-149.89127,2,2,116,219900,6167,73025,2999,85128,3168,58358,12360,1205,2962,1483,1718,844,870,871,615,36.2
Latouche Street,Anchorage,AK,99501,61.20855,-149.86044,3,4,180,355000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
East 12th Avenue,Anchorage,AK,99501,61.210938,-149.8655,3,3,122,119000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
I Street,Anchorage,AK,99501,61.21068,-149.89989,2,2,104,370000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
Potlatch Circle,Anchorage,AK,99503,61.2017,-149.90158,3,2,169,354900,6167,73025,2999,85128,3168,58358,12360,1205,2962,1483,1718,844,870,871,615,36.2
East 11th Avenue,Anchorage,AK,99501,61.210808,-149.87889,1,1,65,135000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
Top Rail Lane,Anchorage,AK,99501,61.22063,-149.89694,2,3,158,699900,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
Top Rail Lane,Anchorage,AK,99501,61.2207,-149.89656,2,3,158,702000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
North C Street,Anchorage,AK,99501,61.221798,-149.88705,2,3,158,699900,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
Top Rail Lane,Anchorage,AK,99501,61.22066,-149.89677,2,3,158,702900,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
I Street,Anchorage,AK,99501,61.21036,-149.90125,2,2,98,345000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
East 16th Avenue,Anchorage,AK,99501,61.20605,-149.8606,2,2,172,245900,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
Denali Street,Anchorage,AK,99503,61.180126,-149.87733,4,2,143,219000,6167,73025,2999,85128,3168,58358,12360,1205,2962,1483,1718,844,870,871,615,36.2
East 17th Avenue,Anchorage,AK,99501,61.205196,-149.8551,2,2,76,139900,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
Dailey Avenue,Anchorage,AK,99515,61.110565,-149.87357,2,2,87,190000,7624,124110,5397,131463,2227,91008,21596,1481,2530,3172,2838,1387,1463,1793,718,37.9
Bona Kim Loop,Anchorage,AK,99515,61.10677,-149.8578,3,3,171,347900,7624,124110,5397,131463,2227,91008,21596,1481,2530,3172,2838,1387,1463,1793,718,37.9
Dailey Avenue,Anchorage,AK,99515,61.11097,-149.87523,3,2,105,210000,7624,124110,5397,131463,2227,91008,21596,1481,2530,3172,2838,1387,1463,1793,718,37.9
Coral Reef Place,Anchorage,AK,99515,61.111748,-149.87396,3,2,116,275000,7624,124110,5397,131463,2227,91008,21596,1481,2530,3172,2838,1387,1463,1793,718,37.9
Pacific Place,Anchorage,AK,99501,61.21602,-149.90623,2,3,124,429900,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
Woodroe Lane,Anchorage,AK,99507,61.16831,-149.85173,3,2,127,272500,13485,115895,9166,130234,4319,78815,35916,2255,6674,4692,4860,2349,2167,2733,902,35.3
L Street,Anchorage,AK,99501,61.21715,-149.9043,2,2,151,789900,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
Lumbis Avenue,Anchorage,AK,99518,61.15152,-149.8676,2,2,95,239000,4172,94295,2369,106317,1803,73882,10180,438,2538,1390,1186,786,479,544,266,32.9
Meadow Street,Anchorage,AK,99507,61.15297,-149.85172,4,2,126,235000,13485,115895,9166,130234,4319,78815,35916,2255,6674,4692,4860,2349,2167,2733,902,35.3
East 56th Avenue,Anchorage,AK,99518,61.16988,-149.87497,2,2,69,182500,4172,94295,2369,106317,1803,73882,10180,438,2538,1390,1186,786,479,544,266,32.9
Abbington Court,Anchorage,AK,99503,61.176567,-149.86269,2,2,90,240000,6167,73025,2999,85128,3168,58358,12360,1205,2962,1483,1718,844,870,871,615,36.2
Taku / Campbell,Anchorage,AK,99518,61.1553,-149.88428,2,2,69,135000,4172,94295,2369,106317,1803,73882,10180,438,2538,1390,1186,786,479,544,266,32.9
Fairweather Drive,Anchorage,AK,99518,61.16327,-149.87207,2,3,147,280000,4172,94295,2369,106317,1803,73882,10180,438,2538,1390,1186,786,479,544,266,32.9
Meadow Street,Anchorage,AK,99507,61.154484,-149.85172,2,2,102,225000,13485,115895,9166,130234,4319,78815,35916,2255,6674,4692,4860,2349,2167,2733,902,35.3
East 73rd Avenue,Anchorage,AK,99518,61.154392,-149.86992,3,3,159,439900,4172,94295,2369,106317,1803,73882,10180,438,2538,1390,1186,786,479,544,266,32.9
N Street,Anchorage,AK,99501,61.21545,-149.90778,2,2,106,396000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
Hillcrest & Romig Place ESE,Anchorage,AK,99503,61.20056,-149.90974,1,1,58,133000,6167,73025,2999,85128,3168,58358,12360,1205,2962,1483,1718,844,870,871,615,36.2
Evander Drive,Anchorage,AK,99518,61.151814,-149.87283,3,3,161,300000,4172,94295,2369,106317,1803,73882,10180,438,2538,1390,1186,786,479,544,266,32.9
O Street,Anchorage,AK,99501,61.2154,-149.90953,2,2,106,370000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
